#width, depth, aveError, maxError, L2
20 1 0.4767139016743369 1.21321010343055 16.43196975831925
20 2 0.36337689474248147 1.07577173547851 11.813225793596358
20 3 0.15119404313853818 0.851842367925335 6.864143199186082
20 4 0.1536894754002597 1.97415648146565 9.622198221171052
40 1 0.4637485332729497 1.26615554426419 16.148805129240056
40 2 0.18779691923494238 1.05299890813605 8.737344682662584
40 3 0.2335196696594362 1.77169708726389 11.722378501336951
40 4 3.223507104515959e-05 0.000155790739117201 0.0011565866332871985
60 1 0.4511783735343545 1.31555873396604 15.91540162087984
60 2 0.25665571306799917 0.876703969082931 10.814118782581973
60 3 0.017735567897361287 0.155393447169199 0.9151063209921008
60 4 0.0001560251953447245 0.000380070972433977 0.005241123681117718
80 1 0.44909653120942183 1.32552402137809 15.888488757909293
80 2 0.005080361087561434 0.0146219797317602 0.19318236993930002
80 3 0.00014694120421892615 0.00056067699706297 0.005469079621267272
80 4 0.00017289489075562206 0.000860454240213748 0.007260651768913759
100 1 0.44487882638948234 1.35427810144497 15.820101171207822
100 2 0.000697345414142119 0.00272186407889197 0.025952533601088467
100 3 1.481419501935395e-05 0.000178296509776743 0.0008104285525297383
100 4 8.730144114653492e-06 9.45060494710326e-05 0.0004246878711267579
